prompt,label
What about data structures,0
"You are preparing exam notes. Explain Windows server covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
"Provide a critical analysis of space exploration. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"Summarize project management in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
Write a FAQ section for information security with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
time series analysis explain,0
Something about digital forensics,0
Give me software engineering details,0
Need to know functional programming,0
speech recognition overview,0
Plz explain smart cities,0
"Design a lesson plan for teaching cloud computing to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
"Create a study guide for Kubernetes orchestration that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
Something about computer networking,0
"You are a technical writer. Create documentation for quantum computing including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
What is virtual reality,0
Tell me about speech recognition,0
"You are mentoring a junior developer. Explain data visualization with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
fraud detection,0
Something about mobile app development,0
Need to know artificial intelligence,0
Brief on game development,0
renewable energy overview,0
Need to know healthcare technology,0
Need to know genetic engineering,0
talk about concurrent programming,0
"You are a senior software engineer. Explain GraphQL with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
Need to know model deployment,0
talk about decentralized finance,0
Plz explain fraud detection,0
Info photosynthesis,0
Explain chatbot development in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
need to know cryptocurrency,0
Give me model deployment details,0
"Explain artificial intelligence as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
INFO BUSINESS INTELLIGENCE,0
"You are preparing exam notes. Explain compiler design covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
clustering algorithms explain,0
data mining explain,0
Define model deployment,0
"Write about neural networks from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
Talk about probability theory,0
I NEED INFO ON ETHICAL HACKING,0
"Describe GraphQL in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Write a FAQ section for data structures with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
Tell me about concurrent programming,0
penetration testing overview,0
"Explain game development as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
Write about augmented reality,0
Define digital forensics,0
"Explain anomaly detection as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Create a cheat sheet for behavior driven development. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Describe ecommerce,0
"Describe penetration testing in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
"Describe Python programming in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Talk about chatbot development,0
DEFINE PROBABILITY THEORY,0
"Create a study guide for business intelligence that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
need to know devops,0
"Explain supply chain management using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
UI UX design,0
Help me with operating systems,0
Brief on virtual reality,0
"Write a comprehensive guide on Windows server. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
"You are a senior software engineer. Explain neural networks with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
need to know climate change,0
brief on cloud storage,0
"Provide a beginner-friendly introduction to reinforcement learning. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
"Explain concurrent programming with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Explain the concept of graph theory using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
"Explain information security with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Create a cheat sheet for business intelligence. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Info database management,0
mobile app development,0
Compare and contrast model deployment with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
"Explain design patterns as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Explain artificial intelligence as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"You are preparing exam notes. Explain 5G technology covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
write about ethical hacking,0
"Explain virtual reality in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
"Write a comprehensive guide on predictive analytics. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
"You are a technical writer. Create documentation for embedded systems including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
Write a FAQ section for digital forensics with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"Create a cheat sheet for continuous integration. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
help me with space exploration,0
Tell me about speech recognition,0
"Explain cloud computing in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
natural language processing,0
"You are preparing exam notes. Explain space exploration covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
GIVE ME COMPILER DESIGN DETAILS,0
explain design patterns,0
brief on natural language processing,0
Give me algorithms details,0
"You are preparing exam notes. Explain ETL processes covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
Info GraphQL,0
Help me with algorithms,0
chatbot development,0
WRITE ABOUT EMBEDDED SYSTEMS,0
Info Windows server,0
What about edge computing,0
SOMETHING ABOUT SENTIMENT ANALYSIS,0
Info design patterns,0
need to know optimization techniques,0
"Write a blog post about calculus applications for a tech audience. Include: catchy introduction, 3 main sections with subheadings, code snippet if relevant, and a call to action.",1
Write a FAQ section for image recognition with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
plz explain predictive analytics,0
Explain REST API design in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
"Write about big data from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
"Provide a critical analysis of linear algebra. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"Explain graph theory in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
"You are mentoring a junior developer. Explain distributed systems with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
"Explain probability theory with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
ETL processes,0
"Write a comprehensive guide on mobile app development. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
"Design a lesson plan for teaching healthcare technology to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
"You are preparing exam notes. Explain ecommerce covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
"You are preparing exam notes. Explain serverless computing covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
Give me robotics details,0
I need info on reinforcement learning,0
describe linear algebra,0
Explain linear algebra in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Compare and contrast predictive analytics with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
"Explain cybersecurity with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
NEED TO KNOW ANOMALY DETECTION,0
Describe sentiment analysis,0
Write about text summarization,0
What about model deployment,0
"Create a cheat sheet for cryptocurrency. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
"Explain ethical hacking with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
Need to know machine learning operations,0
Talk about computer networking,0
Something about network security,0
Info Docker containers,0
"Explain clustering algorithms as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
What is virtual reality,0
Plz explain 5G technology,0
data structures,0
You are an expert professor. Explain deep learning to a beginner student step-by-step with practical examples and a summary at the end.,1
I need info on smart cities,0
microservices?,0
"Describe algorithms in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
"You are a senior software engineer. Explain object oriented programming with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
"Write a comprehensive guide on probability theory. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
"Explain Windows server using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
"Explain microservices as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Create a cheat sheet for ETL processes. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
I need info on blockchain technology,0
Help me with cloud computing,0
Help me with serverless computing,0
"Provide a beginner-friendly introduction to cybersecurity. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
DEFINE DISTRIBUTED SYSTEMS,0
I need info on quantum computing,0
Brief on reinforcement learning,0
Describe object oriented programming,0
What about robotics,0
Explain UI UX design in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
"Write a detailed explanation of machine learning covering: 1) Definition, 2) Key concepts, 3) Real-world applications, 4) Advantages and disadvantages. Use clear headings.",1
"Provide a critical analysis of version control. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
Write about game development,0
Brief on recommendation systems,0
Something about software architecture,0
Plz explain internet of things,0
What is penetration testing,0
"You are preparing exam notes. Explain neural networks covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
"Design a lesson plan for teaching cloud computing to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
"Explain time series analysis with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
PLZ EXPLAIN CLEAN CODE PRINCIPLES,0
Docker containers overview,0
"Explain cryptocurrency in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
"Create a cheat sheet for virtual reality. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
"Explain operating systems as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
"Provide a critical analysis of ETL processes. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
Need to know data warehousing,0
Write a FAQ section for cloud computing with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"Provide a critical analysis of project management. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
Info human computer interaction,0
"Design a lesson plan for teaching software engineering to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
Talk about probability theory,0
What is embedded systems,0
Explain financial technology,0
"Explain Python programming in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
Give me concurrent programming details,0
SOMETHING ABOUT COMPUTER VISION,0
Write a FAQ section for calculus applications with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
Describe project management,0
sentiment analysis?,0
You are an expert professor. Explain object oriented programming to a beginner student step-by-step with practical examples and a summary at the end.,1
"Design a lesson plan for teaching smart cities to beginners. Include: learning objectives (3), key vocabulary (5 words), activities (2), and assessment criteria.",1
DECENTRALIZED FINANCE,0
Something about cloud storage,0
"Explain computer vision using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
"Analyze how ecommerce has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
I NEED INFO ON FRAUD DETECTION,0
Write a FAQ section for calculus applications with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
Help me with machine learning,0
Explain deep learning in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
concurrent programming explain,0
"Create a cheat sheet for DevOps. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Info data warehousing,0
"You are a technical writer. Create documentation for microservices including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
Describe API development,0
define distributed systems,0
talk about serverless computing,0
"You are preparing exam notes. Explain clean code principles covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
Define big data,0
Tell me about graph theory,0
Explain artificial intelligence,0
Brief on cybersecurity,0
PLZ EXPLAIN GRAPHQL,0
define chatbot development,0
"Create a cheat sheet for photosynthesis. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
You are an expert professor. Explain data warehousing to a beginner student step-by-step with practical examples and a summary at the end.,1
"Summarize design patterns in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
Compare and contrast deep learning with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
Give me big data details,0
smart cities explain,0
I need info on data mining,0
"You are a senior software engineer. Explain microservices with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
i need info on mobile app development,0
"Provide a critical analysis of ecommerce. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
"Explain version control using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
GIVE ME PROJECT MANAGEMENT DETAILS,0
test driven development,0
Tell me about cryptocurrency,0
Describe cloud computing,0
Help me with predictive analytics,0
"Write a detailed explanation of test driven development covering: 1) Definition, 2) Key concepts, 3) Real-world applications, 4) Advantages and disadvantages. Use clear headings.",1
"Explain quantum computing using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
"You are a technical writer. Create documentation for information security including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
Info data visualization,0
need to know cloud computing,0
"You are a technical writer. Create documentation for machine learning operations including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
Describe transfer learning,0
Brief on cryptocurrency,0
"Explain the concept of computer networking using the Feynman technique. Break it down into simple parts, use an analogy, and give one example. Limit to 200 words.",1
Need to know anomaly detection,0
What is natural language processing,0
"Explain natural language processing with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
define probability theory,0
tell me about algorithms,0
Write a FAQ section for machine learning operations with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
give me financial technology details,0
I need info on machine learning operations,0
What about sentiment analysis,0
"Write a blog post about Windows server for a tech audience. Include: catchy introduction, 3 main sections with subheadings, code snippet if relevant, and a call to action.",1
write about time series analysis,0
cloud storage overview,0
Write a FAQ section for REST API design with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"Write a blog post about computer vision for a tech audience. Include: catchy introduction, 3 main sections with subheadings, code snippet if relevant, and a call to action.",1
"Explain climate change in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
Give me data structures details,0
"Explain computer networking using the following structure: Problem it solves, How it works internally, When to use it, When NOT to use it, and one real project example.",1
"Describe Python programming in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
Write about optimization techniques,0
I need info on version control,0
Define decentralized finance,0
Explain probability theory in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
"Explain reinforcement learning in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
Compare and contrast computer networking with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
"Write a detailed explanation of algorithms covering: 1) Definition, 2) Key concepts, 3) Real-world applications, 4) Advantages and disadvantages. Use clear headings.",1
Info automation testing,0
explain healthcare technology,0
"Explain linear algebra with a focus on problem-solving. Present 3 common problems in this area, explain each solution step-by-step, and highlight best practices.",1
"Write about natural language processing from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
Compare and contrast smart cities with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
Brief on time series analysis,0
Write about ethical hacking,0
recommendation systems,0
I need info on natural language processing,0
Write a FAQ section for version control with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"Summarize UI UX design in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
software engineering?,0
tell me about clean code principles,0
"You are preparing exam notes. Explain microservices covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
"Provide a beginner-friendly introduction to digital marketing. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
What about text summarization,0
data visualization,0
"Write a detailed explanation of algorithms covering: 1) Definition, 2) Key concepts, 3) Real-world applications, 4) Advantages and disadvantages. Use clear headings.",1
"You are a senior software engineer. Explain internet of things with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
Compare and contrast mobile app development with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
"You are mentoring a junior developer. Explain serverless computing with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
"Explain computer vision in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
Write a FAQ section for supply chain management with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"You are a technical writer. Create documentation for graph theory including: overview, getting started guide, key features, and troubleshooting section. Use markdown formatting.",1
What is machine learning,0
"Analyze how transfer learning has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
I need info on sentiment analysis,0
Write a FAQ section for feature engineering with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
I need info on Python programming,0
Give me GraphQL details,0
Write a FAQ section for UI UX design with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
DESCRIBE BEHAVIOR DRIVEN DEVELOPMENT,0
Explain reinforcement learning in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Write a FAQ section for transfer learning with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"Create a cheat sheet for serverless computing. Include: quick definition, key formulas or rules, top 5 tips, common errors, and one practical example. Keep it concise.",1
Compare and contrast machine learning operations with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
WHAT ABOUT HUMAN COMPUTER INTERACTION,0
linear algebra explain,0
"Analyze how transfer learning has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
"Write about climate change from both a theoretical and practical perspective. Include mathematical foundations if applicable, real-world implementations, and future trends. Use structured headings.",1
WebSocket programming explain,0
Tell me about Docker containers,0
"Explain speech recognition as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
Give me space exploration details,0
"Explain behavior driven development in exactly 5 paragraphs: introduction, history, how it works, applications, and future scope. Each paragraph should be 3-4 sentences.",1
I need info on compiler design,0
define cloud computing,0
Plz explain functional programming,0
"Write a blog post about image recognition for a tech audience. Include: catchy introduction, 3 main sections with subheadings, code snippet if relevant, and a call to action.",1
functional programming?,0
describe agile methodology,0
Write a FAQ section for network security with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
"You are a senior software engineer. Explain robotics with code examples, best practices, and common pitfalls. Structure your answer with clear sections.",1
"Write a blog post about DevOps for a tech audience. Include: catchy introduction, 3 main sections with subheadings, code snippet if relevant, and a call to action.",1
"Analyze how internet of things has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
object oriented programming,0
"Provide a beginner-friendly introduction to business intelligence. Cover: what it is, why it matters, how it works, and 3 practical use cases. Use numbered lists.",1
"Write a comprehensive guide on virtual reality. Include: prerequisites, step-by-step learning path, recommended resources, and common mistakes to avoid. Format with bullet points.",1
"Provide a critical analysis of artificial intelligence. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
Explain cloud computing in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
"You are mentoring a junior developer. Explain 5G technology with hands-on examples, common mistakes beginners make, and tips for mastering the concept. Use a friendly tone.",1
"Describe project management in a structured format. Include an introduction, 3 main points with examples, and a conclusion. Target audience: college students.",1
"Explain recommendation systems as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
human computer interaction overview,0
"Explain blockchain technology as if teaching a 10-year-old. Use simple analogies, 2 examples from daily life, and keep it under 150 words.",1
Need to know algorithms,0
"Analyze how cloud computing has evolved over the last decade. Cover: major milestones, current state, and predictions for the next 5 years. Use specific dates and examples.",1
Compare and contrast WebSocket programming with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
Compare and contrast data visualization with its closest alternative. Present your answer in a table format with at least 5 comparison points.,1
signal processing explain,0
virtual reality explain,0
Write a FAQ section for clean code principles with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
I need info on WebSocket programming,0
What about image recognition,0
API development overview,0
"Write a blog post about smart cities for a tech audience. Include: catchy introduction, 3 main sections with subheadings, code snippet if relevant, and a call to action.",1
"Summarize agile methodology in a professional report format. Include: executive summary, methodology, findings (3 key points), and recommendations. Limit to 300 words.",1
"Create a study guide for software engineering that includes: key terminology (5 terms), core concepts (3 points), practice questions (3 questions), and further reading suggestions.",1
"Provide a critical analysis of microservices. Discuss 3 strengths, 3 weaknesses, current research trends, and your recommendation. Support with examples.",1
Plz explain REST API design,0
explain containerization,0
Tell me about sustainable development,0
need to know climate change,0
Explain CI CD pipelines in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
Tell me about digital marketing,0
Write a FAQ section for parallel computing with 5 commonly asked questions and detailed answers. Each answer should be 2-3 sentences with examples where applicable.,1
Explain algorithms in simple terms. Provide 3 real-world examples. Use bullet points. Limit your response to 200 words.,1
"You are preparing exam notes. Explain optimization techniques covering all important aspects a student should know. Include definitions, diagrams description, and 3 potential exam questions.",1
tell me about blockchain technology,0
